2PE 1:16.8 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:16.9 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:16.10 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:16.11 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:16.12 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:16.13 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2PE 1:16.14 . δύναμιν δύναμιν N-ASF 1411 δύναμις ! δύναμις
2PE 1:16.15 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:16.16 . παρουσίαν, παρουσίαν, N-ASF 3952 παρουσία ! παρουσία
2PE 1:16.17 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2PE 1:16.18 . ἐπόπται ἐπόπται N-NPM 2030 ἐπόπτης ! ἐπόπτης
2PE 1:16.19 . γενηθέντες γενηθέντες V-AOP-NPM 1096 γίνομαι ! γίνομαι
2PE 1:16.20 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:16.21 . ἐκείνου ἐκείνου D-GSM 1565 ἐκεῖνος ! ἐκεῖνος
2PE 1:16.22 . μεγαλειότητος. μεγαλειότητος. N-GSF 3168 μεγαλειότης ! μεγαλειότης
2PE 1:17.1 . λαβὼν λαβὼν V-2AAP-NSM 2983 λαμβάνω ! λαμβάνω
2PE 1:17.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:17.3 . παρὰ παρὰ PREP 3844 παρά ! παρά
2PE 1:17.4 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:17.5 . πατρὸς πατρὸς N-GSM 3962 πατήρ ! πατήρ
2PE 1:17.6 . τιμὴν τιμὴν N-ASF 5092 τιμή ! τιμή
2PE 1:17.7 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:17.8 . δόξαν δόξαν N-ASF 1391 δόξα ! δόξα
2PE 1:17.9 . φωνῆς φωνῆς N-GSF 5456 φωνή ! φωνή
2PE 1:17.10 . ἐνεχθείσης ἐνεχθείσης V-APP-GSF 5342 φέρω ! φέρω
2PE 1:17.11 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
2PE 1:17.12 . τοιᾶσδε τοιᾶσδε D-GSF 5107 τοιόσδε ! τοιόσδε
2PE 1:17.13 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
2PE 1:17.14 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:17.15 . μεγαλοπρεποῦς μεγαλοπρεποῦς A-GSF 3169 μεγαλοπρεπής ! μεγαλοπρεπής
2PE 1:17.16 . δόξης· δόξης· N-GSF 1391 δόξα ! δόξα
