RE 1:6.13 . δόξα δόξα N-NSF 1391 δόξα ! δόξα
RE 1:6.14 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:6.15 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
RE 1:6.16 . κράτος κράτος N-NSN 2904 κράτος ! κράτος
RE 1:6.17 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:6.18 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
RE 1:6.19 . αἰῶνας αἰῶνας N-APM 165 αἰών ! αἰών
RE 1:6.20 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
RE 1:6.21 . αἰώνων· αἰώνων· N-GPM 165 αἰών ! αἰών
RE 1:6.22 . ἀμήν. ἀμήν. HEB 281 ἀμήν ! ἀμήν
RE 1:7.1 P Ἰδοὺ Ἰδοὺ V-2AMM-2S 3708 ὁράω ! ὁράω
RE 1:7.2 . ἔρχεται ἔρχεται V-PNI-3S 2064 ἔρχομαι ! ἔρχομαι
RE 1:7.3 . μετὰ μετὰ PREP 3326 μετά ! μετά
RE 1:7.4 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
RE 1:7.5 . νεφελῶν, νεφελῶν, N-GPF 3507 νεφέλη ! νεφέλη
RE 1:7.6 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:7.7 . ὄψεται ὄψεται V-FDI-3S 3708 ὁράω ! ὁράω
RE 1:7.8 . αὐτὸν αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.9 . πᾶς πᾶς A-NSM 3956 πᾶς ! πᾶς
RE 1:7.10 . ὀφθαλμὸς ὀφθαλμὸς N-NSM 3788 ὀφθαλμός ! ὀφθαλμός
RE 1:7.11 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:7.12 . οἵτινες οἵτινες R-NPM 3748 ὅστις ! ὅστις
RE 1:7.13 . αὐτὸν αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.14 . ἐξεκέντησαν, ἐξεκέντησαν, V-AAI-3P 1574 ἐκκεντέω ! ἐκκεντέω
RE 1:7.15 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:7.16 . κόψονται κόψονται V-FDI-3P 2875 κόπτω ! κόπτω
RE 1:7.17 . ἐπ’ ἐπ’ PREP 1909 ἐπί ! ἐπί
RE 1:7.18 . αὐτὸν αὐτὸν P-ASM 846 αὐτός ! αὐτός
RE 1:7.19 . πᾶσαι πᾶσαι A-NPF 3956 πᾶς ! πᾶς
RE 1:7.20 . αἱ αἱ T-NPF 3588 ὁ ! ὁ
RE 1:7.21 . φυλαὶ φυλαὶ N-NPF 5443 φυλή ! φυλή
RE 1:7.22 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
RE 1:7.23 . γῆς. γῆς. N-GSF 1093 γῆ ! γῆ
RE 1:7.24 . ναί, ναί, PRT 3483 ναί ! ναί
RE 1:7.25 . ἀμήν. ἀμήν. HEB 281 ἀμήν ! ἀμήν
RE 1:8.1 . ἐγώ ἐγώ P-1NS 1473 ἐγώ ! ἐγώ
RE 1:8.2 . εἰμι εἰμι V-PAI-1S 1510 εἰμί ! εἰμί
RE 1:8.3 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
RE 1:8.4 . ἄλφα ἄλφα N-LI 1 Α ! ἄλφα
RE 1:8.5 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:8.6 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
RE 1:8.7 . ω, ω, N-LI 5598 Ω ! Ὦ
RE 1:8.8 . λέγει λέγει V-PAI-3S 3004 λέγω ! λέγω
RE 1:8.9 . κύριος κύριος N-NSM 2962 κύριος ! κύριος
RE 1:8.10 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.11 . θεός, θεός, N-NSM 2316 θεός ! θεός
RE 1:8.12 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.13 . ὢν ὢν V-PAP-NSM 1510 εἰμί ! εἰμί
RE 1:8.14 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:8.15 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.16 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
RE 1:8.17 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:8.18 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.19 . ἐρχόμενος, ἐρχόμενος, V-PNP-NSM 2064 ἔρχομαι ! ἔρχομαι
RE 1:8.20 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:8.21 . παντοκράτωρ. παντοκράτωρ. N-NSM 3841 παντοκράτωρ ! παντοκράτωρ
RE 1:9.1 P Ἐγὼ Ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
RE 1:9.2 . Ἰωάννης, Ἰωάννης, N-NSM 2491 Ἰωάννης ! Ἰωάννης
RE 1:9.3 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:9.4 . ἀδελφὸς ἀδελφὸς N-NSM 80 ἀδελφός ! ἀδελφός
RE 1:9.5 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
RE 1:9.6 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:9.7 . συνκοινωνὸς συνκοινωνὸς N-NSM 4791 συγκοινωνός ! συγκοινωνός
RE 1:9.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:9.9 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
RE 1:9.10 . θλίψει θλίψει N-DSF 2347 θλῖψις ! θλῖψις
RE 1:9.11 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:9.12 . βασιλείᾳ βασιλείᾳ N-DSF 932 βασιλεία ! βασιλεία
RE 1:9.13 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:9.14 . ὑπομονῇ ὑπομονῇ N-DSF 5281 ὑπομονή ! ὑπομονή
RE 1:9.15 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:9.16 . Ἰησοῦ, Ἰησοῦ, N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
RE 1:9.17 . ἐγενόμην ἐγενόμην V-2ADI-1S 1096 γίνομαι ! γίνομαι
RE 1:9.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:9.19 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
