2TH 1:9.11 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2TH 1:9.12 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:9.13 . δόξης δόξης N-GSF 1391 δόξα ! δόξα
2TH 1:9.14 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:9.15 . ἰσχύος ἰσχύος N-GSF 2479 ἰσχύς ! ἰσχύς
2TH 1:9.16 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
2TH 1:10.1 . ὅταν ὅταν CONJ 3752 ὅταν ! ὅταν
2TH 1:10.2 . ἔλθῃ ἔλθῃ V-2AAS-3S 2064 ἔρχομαι ! ἔρχομαι
2TH 1:10.3 . ἐνδοξασθῆναι ἐνδοξασθῆναι V-APN 1740 ἐνδοξάζω ! ἐνδοξάζομαι
2TH 1:10.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.5 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:10.6 . ἁγίοις ἁγίοις A-DPM 40 ἅγιος ! ἅγιος
2TH 1:10.7 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2TH 1:10.8 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:10.9 . θαυμασθῆναι θαυμασθῆναι V-APN 2296 θαυμάζω ! θαυμάζω
2TH 1:10.10 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.11 . πᾶσιν πᾶσιν A-DPM 3956 πᾶς ! πᾶς
2TH 1:10.12 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:10.13 . πιστεύσασιν, πιστεύσασιν, V-AAP-DPM 4100 πιστεύω ! πιστεύω
2TH 1:10.14 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 1:10.15 . ἐπιστεύθη ἐπιστεύθη V-API-3S 4100 πιστεύω ! πιστεύω
2TH 1:10.16 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
