MT 1:9.6 . Ἰωαθὰμ Ἰωαθὰμ N-PRI 2488 Ἰωάθαμ ! Ἰωαθάμ
MT 1:9.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:9.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:9.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:9.10 . Ἀχάζ, Ἀχάζ, N-PRI 881 Ἀχάζ ! Ἀχάζ
MT 1:9.11 . Ἀχὰζ Ἀχὰζ N-PRI 881 Ἀχάζ ! Ἀχάζ
MT 1:9.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:9.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:9.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:9.15 . Ἑζεκίαν, Ἑζεκίαν, N-ASM 1478 Ἐζεκίας ! Ἑζεκίας
MT 1:10.1 . Ἑζεκίας Ἑζεκίας N-NSM 1478 Ἐζεκίας ! Ἑζεκίας
MT 1:10.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:10.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:10.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:10.5 . Μανασσῆ, Μανασσῆ, N-ASM 3128 Μανασσῆς ! Μανασσῆ
MT 1:10.6 . Μανασσῆς Μανασσῆς N-NSM 3128 Μανασσῆς ! Μανασσῆ
MT 1:10.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:10.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:10.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:10.10 . Ἀμώς, Ἀμώς, N-PRI 301 Ἀμώς ! Ἀμώς
MT 1:10.11 . Ἀμὼς Ἀμὼς N-PRI 301 Ἀμώς ! Ἀμώς
MT 1:10.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:10.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:10.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:10.15 . Ἰωσείαν, Ἰωσείαν, N-ASM 2502 Ἰωσίας ! Ἰωσίας
MT 1:11.1 . Ἰωσείας Ἰωσείας N-NSM 2502 Ἰωσίας ! Ἰωσίας
MT 1:11.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:11.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:11.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:11.5 . Ἰεχονίαν Ἰεχονίαν N-ASM 2423 Ἰεχονίας ! Ἰεχονίας
MT 1:11.6 . καὶ καὶ CONJ 2532 καί ! καί
MT 1:11.7 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
MT 1:11.8 . ἀδελφοὺς ἀδελφοὺς N-APM 80 ἀδελφός ! ἀδελφός
MT 1:11.9 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
MT 1:11.10 . ἐπὶ ἐπὶ PREP 1909 ἐπί ! ἐπί
MT 1:11.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:11.12 . μετοικεσίας μετοικεσίας N-GSF 3350 μετοικεσία ! μετοικεσία
MT 1:11.13 . Βαβυλῶνος. Βαβυλῶνος. N-GSF 897 Βαβυλών ! Βαβυλών
MT 1:12.1 . μετὰ μετὰ PREP 3326 μετά ! μετά
MT 1:12.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:12.3 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
MT 1:12.4 . μετοικεσίαν μετοικεσίαν N-ASF 3350 μετοικεσία ! μετοικεσία
MT 1:12.5 . Βαβυλῶνος Βαβυλῶνος N-GSF 897 Βαβυλών ! Βαβυλών
MT 1:12.6 . Ἰεχονίας Ἰεχονίας N-NSM 2423 Ἰεχονίας ! Ἰεχονίας
MT 1:12.7 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:12.8 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:12.9 . Σαλαθιήλ, Σαλαθιήλ, N-PRI 4528 Σαλαθιήλ ! Σαλαθιήλ
MT 1:12.10 . Σαλαθιὴλ Σαλαθιὴλ N-PRI 4528 Σαλαθιήλ ! Σαλαθιήλ
MT 1:12.11 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:12.12 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:12.13 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:12.14 . Ζοροβάβελ, Ζοροβάβελ, N-PRI 2216 Ζοροβάβελ ! Ζοροβαβέλ
MT 1:13.1 . Ζοροβάβελ Ζοροβάβελ N-PRI 2216 Ζοροβάβελ ! Ζοροβαβέλ
MT 1:13.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:13.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:13.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:13.5 . Ἀβιούδ, Ἀβιούδ, N-PRI 10 Ἀβιούδ ! Ἀβιούδ
MT 1:13.6 . Ἀβιοὺδ Ἀβιοὺδ N-PRI 10 Ἀβιούδ ! Ἀβιούδ
MT 1:13.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:13.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:13.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:13.10 . Ἐλιακείμ, Ἐλιακείμ, N-PRI 1662 Ἐλιακείμ ! Ἐλιακίμ
MT 1:13.11 . Ἐλιακεὶμ Ἐλιακεὶμ N-PRI 1662 Ἐλιακείμ ! Ἐλιακίμ
MT 1:13.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:13.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:13.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:13.15 . Ἀζώρ, Ἀζώρ, N-PRI 107 Ἀζώρ ! Ἀζώρ
MT 1:14.1 . Ἀζὼρ Ἀζὼρ N-PRI 107 Ἀζώρ ! Ἀζώρ
MT 1:14.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:14.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:14.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:14.5 . Σαδώκ, Σαδώκ, N-PRI 4524 Σαδώκ ! Σαδώκ
MT 1:14.6 . Σαδὼκ Σαδὼκ N-PRI 4524 Σαδώκ ! Σαδώκ
MT 1:14.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:14.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:14.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:14.10 . Ἀχείμ, Ἀχείμ, N-PRI 885 Ἀχείμ ! Ἀχίμ
MT 1:14.11 . Ἀχεὶμ Ἀχεὶμ N-PRI 885 Ἀχείμ ! Ἀχίμ
MT 1:14.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:14.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:14.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:14.15 . Ἐλιούδ, Ἐλιούδ, N-PRI 1664 Ἐλιούδ ! Ἐλιούδ
MT 1:15.1 . Ἐλιοὺδ Ἐλιοὺδ N-PRI 1664 Ἐλιούδ ! Ἐλιούδ
MT 1:15.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:15.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:15.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:15.5 . Ἐλεάζαρ, Ἐλεάζαρ, N-PRI 1648 Ἐλεάζαρ ! Ἐλεάζαρ
MT 1:15.6 . Ἐλεάζαρ Ἐλεάζαρ N-PRI 1648 Ἐλεάζαρ ! Ἐλεάζαρ
MT 1:15.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:15.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:15.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:15.10 . Μαθθάν, Μαθθάν, N-PRI 3157 Ματθάν ! Ματθάν
MT 1:15.11 . Μαθθὰν Μαθθὰν N-PRI 3157 Ματθάν ! Ματθάν
MT 1:15.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:15.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:15.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:15.15 . Ἰακώβ, Ἰακώβ, N-PRI 2384 Ἰακώβ ! Ἰακώβ
MT 1:16.1 . Ἰακὼβ Ἰακὼβ N-PRI 2384 Ἰακώβ ! Ἰακώβ
MT 1:16.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:16.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:16.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:16.5 . Ἰωσὴφ Ἰωσὴφ N-PRI 2501 Ἰωσήφ ! Ἰωσήφ
MT 1:16.6 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:16.7 . ἄνδρα ἄνδρα N-ASM 435 ἀνήρ ! ἀνήρ
