1PE 1:13.3 . τὰς τὰς T-APF 3588 ὁ ! ὁ
1PE 1:13.4 . ὀσφύας ὀσφύας N-APF 3751 ὀσφῦς ! ὀσφῦς
1PE 1:13.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:13.6 . διανοίας διανοίας N-GSF 1271 διάνοια ! διάνοια
1PE 1:13.7 . ὑμῶν, ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
1PE 1:13.8 . νήφοντες, νήφοντες, V-PAP-NPM 3525 νήφω ! νήφω
1PE 1:13.9 . τελείως τελείως ADV 5049 τελείως ! τελείως
1PE 1:13.10 . ἐλπίσατε ἐλπίσατε V-AAM-2P 1679 ἐλπίζω ! ἐλπίζω
1PE 1:13.11 . ἐπὶ ἐπὶ PREP 1909 ἐπί ! ἐπί
1PE 1:13.12 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
1PE 1:13.13 . φερομένην φερομένην V-PPP-ASF 5342 φέρω ! φέρω
1PE 1:13.14 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:13.15 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
1PE 1:13.16 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:13.17 . ἀποκαλύψει ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
1PE 1:13.18 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:13.19 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
1PE 1:14.1 . ὡς ὡς ADV 5613 ὡς ! ὡς
1PE 1:14.2 . τέκνα τέκνα N-NPN 5043 τέκνον ! τέκνον
1PE 1:14.3 . ὑπακοῆς, ὑπακοῆς, N-GSF 5218 ὑπακοή ! ὑπακοή
1PE 1:14.4 . μὴ μὴ PRT-N 3361 μή ! μή
1PE 1:14.5 . συσχηματιζόμενοι συσχηματιζόμενοι V-PEP-NPM 4964 συσχηματίζω ! συσχηματίζω
1PE 1:14.6 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
1PE 1:14.7 . πρότερον πρότερον ADV-C 4386 πρότερον ! πρότερος
1PE 1:14.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:14.9 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
1PE 1:14.10 . ἀγνοίᾳ ἀγνοίᾳ N-DSF 52 ἄγνοια ! ἄγνοια
1PE 1:14.11 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:14.12 . ἐπιθυμίαις, ἐπιθυμίαις, N-DPF 1939 ἐπιθυμία ! ἐπιθυμία
1PE 1:15.1 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1PE 1:15.2 . κατὰ κατὰ PREP 2596 κατά ! κατά
1PE 1:15.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:15.4 . καλέσαντα καλέσαντα V-AAP-ASM 2564 καλέω ! καλέω
1PE 1:15.5 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:15.6 . ἅγιον ἅγιον A-ASM 40 ἅγιος ! ἅγιος
1PE 1:15.7 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:15.8 . αὐτοὶ αὐτοὶ P-NPM 846 αὐτός ! αὐτός
1PE 1:15.9 . ἅγιοι ἅγιοι A-NPM 40 ἅγιος ! ἅγιος
1PE 1:15.10 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:15.11 . πάσῃ πάσῃ A-DSF 3956 πᾶς ! πᾶς
1PE 1:15.12 . ἀναστροφῇ ἀναστροφῇ N-DSF 391 ἀναστροφή ! ἀναστροφή
1PE 1:15.13 . γενήθητε, γενήθητε, V-AOM-2P 1096 γίνομαι ! γίνομαι
1PE 1:16.1 . διότι διότι CONJ 1360 διότι ! διότι
1PE 1:16.2 . γέγραπται γέγραπται V-RPI-3S 1125 γράφω ! γράφω
1PE 1:16.3 . ἅγιοι ἅγιοι A-NPM 40 ἅγιος ! ἅγιος
1PE 1:16.4 . ἔσεσθε, ἔσεσθε, V-FDI-2P 1510 εἰμί ! εἰμί
1PE 1:16.5 . διότι διότι CONJ 1360 διότι ! διότι
1PE 1:16.6 . ἐγὼ ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
1PE 1:16.7 . ἅγιος. ἅγιος. A-NSM 40 ἅγιος ! ἅγιος
1PE 1:17.1 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:17.2 . εἰ εἰ COND 1487 εἰ ! εἰ
1PE 1:17.3 . πατέρα πατέρα N-ASM 3962 πατήρ ! πατήρ
1PE 1:17.4 . ἐπικαλεῖσθε ἐπικαλεῖσθε V-PMI-2P 1941 ἐπικαλέομαι ! ἐπικαλέω
1PE 1:17.5 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:17.6 . ἀπροσωπολήμπτως ἀπροσωπολήμπτως ADV 678 ἀπροσωπολήπτως ! ἀπροσωπολήμπτως
1PE 1:17.7 . κρίνοντα κρίνοντα V-PAP-ASM 2919 κρίνω ! κρίνω
1PE 1:17.8 . κατὰ κατὰ PREP 2596 κατά ! κατά
1PE 1:17.9 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
1PE 1:17.10 . ἑκάστου ἑκάστου A-GSM 1538 ἕκαστος ! ἕκαστος
1PE 1:17.11 . ἔργον, ἔργον, N-ASN 2041 ἔργον ! ἔργον
1PE 1:17.12 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:17.13 . φόβῳ φόβῳ N-DSM 5401 φόβος ! φόβος
1PE 1:17.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
1PE 1:17.15 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:17.16 . παροικίας παροικίας N-GSF 3940 παροικία ! παροικία
1PE 1:17.17 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:17.18 . χρόνον χρόνον N-ASM 5550 χρόνος ! χρόνος
1PE 1:17.19 . ἀναστράφητε, ἀναστράφητε, V-2APM-2P 390 ἀναστρέφω ! ἀναστρέφω
1PE 1:18.1 . εἰδότες εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
1PE 1:18.2 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1PE 1:18.3 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
1PE 1:18.4 . φθαρτοῖς, φθαρτοῖς, A-DPN 5349 φθαρτός ! φθαρτός
1PE 1:18.5 . ἀργυρίῳ ἀργυρίῳ N-DSN 694 ἀργύριον ! ἀργύριον
1PE 1:18.6 . ἢ ἢ PRT 2228 ἤ ! ἤ
1PE 1:18.7 . χρυσίῳ χρυσίῳ N-DSN 5553 χρυσίον ! χρυσίον
1PE 1:18.8 . ἐλυτρώθητε ἐλυτρώθητε V-API-2P 3084 λυτρόω ! λυτρόω
1PE 1:18.9 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
1PE 1:18.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:18.11 . ματαίας ματαίας A-GSF 3152 μάταιος ! μάταιος
1PE 1:18.12 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:18.13 . ἀναστροφῆς ἀναστροφῆς N-GSF 391 ἀναστροφή ! ἀναστροφή
1PE 1:18.14 . πατροπαραδότου, πατροπαραδότου, A-GSF 3970 πατροπαράδοτος ! πατροπαράδοτος
1PE 1:19.1 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1PE 1:19.2 . τιμίῳ τιμίῳ A-DSN 5093 τίμιος ! τίμιος
1PE 1:19.3 . αἵματι αἵματι N-DSN 129 αἷμα ! αἷμα
1PE 1:19.4 . ὡς ὡς ADV 5613 ὡς ! ὡς
1PE 1:19.5 . ἀμνοῦ ἀμνοῦ N-GSM 286 ἀμνός ! ἀμνός
1PE 1:19.6 . ἀμώμου ἀμώμου A-GSM 299 ἄμωμος ! ἄμωμος
